Model,Accuracy,F1-Score,Precision,Recall,ROC-AUC,Süre (s)
Random Forest,0.9603,0.9536,0.9675,0.9402,0.9932,3.7
Bagging,0.9595,0.9528,0.9659,0.94,0.9928,16.1
Extra Trees,0.9569,0.9496,0.9646,0.9351,0.9927,3.1
MLP Neural Net,0.9565,0.9495,0.958,0.9413,0.9937,83.0
Gradient Boosting,0.94,0.93,0.9431,0.9172,0.9875,22.4
Decision Tree,0.9382,0.9292,0.9253,0.9331,0.9846,0.8
KNN k=7,0.9282,0.915,0.9422,0.8893,0.9735,0.0
AdaBoost,0.9082,0.8935,0.9008,0.8863,0.9688,5.1
Logistic Regression,0.8695,0.8512,0.8438,0.8587,0.9285,0.5
LDA,0.8724,0.8506,0.8655,0.8363,0.9269,0.4
SGD Classifier,0.8688,0.8491,0.8485,0.8496,0.9271,2.2
Naive Bayes,0.8635,0.8389,0.8605,0.8184,0.9224,0.1
